Chinese,Pinyin,English,Book,Lesson,Section
出問題,chū wèntí,"to go wrong, to have problems",3,6,2
一方面,yì fāngmiàn,on the one hand,3,6,2
親,qīn,(Vs) close (as of familial relationship),3,7,1
爺爺,yéye,(N) grandpa (father's side),3,7,1
鄰居,línjū,(N) neighbor,3,7,1
狗,gǒu,(N) dog,3,7,1
叫,jiào,(Vi) to bark,3,7,1
嗯,en,(Ptc) an interjection indicating the speaker's agreement,3,7,1
奶奶,nǎinai,(N) grandma (father's side),3,7,1
過世,guòshì,"(Vp) to die, pass away (honorific)",3,7,1
領養,lǐngyǎng,(V) to adopt,3,7,1
隻,zhī,(M) measure word for animals,3,7,1
可愛,kě'ài,(Vs) cute,3,7,1
孤單,gūdān,(Vs) lonely,3,7,1
牠,tā,(N) it (animals),3,7,1
髒,zāng,(Vs) dirty,3,7,1
洗澡,xǐzǎo,(V-sep) to take a bath,3,7,1
養,yǎng,"(V) to raise, to keep",3,7,1
亂,luàn,"(Adv) arbitrarily, without rhyme or reason",3,7,1
咬,yǎo,(V) to bite,3,7,1
打,dǎ,"(V) to hit, beat, smack, slap",3,7,1
分手,fēnshǒu,(Vp) to break up (said of romantic relationships),3,7,1
緊張,jǐnzhāng,(Vs) tense,3,7,1
減輕,jiǎnqīng,(V) to reduce,3,7,1
送,sòng,(V) to take to,3,7,1
美容院,měiróngyuàn,(N) beauty salon,3,7,1
推車,tuīchē,(N) stroller,3,7,1
主人,zhǔrén,"(N) master, owner",3,7,1
相處,xiāngchǔ,"(Vi) to get along (with), to spend time together",3,7,1
生,shēng,"(V) to give birth, to bear",3,7,1
寵物,chǒngwù,(N) pet,3,7,1
單身,dānshēn,(Vs) to be single,3,7,1
醫院,yīyuàn,(N) hospital,3,7,1
意見,yìjiàn,"(N) suggestion, opinion",3,7,1
建立,jiànlì,(V) to establish,3,7,1
散步,sànbù,(V-sep) to take a walk,3,7,1
家庭,jiātíng,(N) family,3,7,1
真正,zhēnzhèng,"(Vs-attr) real, true, genuine",3,7,1
幸福,xìngfú,"(N) happyiness, blessing",3,7,1
跌倒,dié dǎo,to fall down,3,7,1
當成,dāngchéng,"to consider, view as, regard",3,7,1
忍不住,rěnbúzhù,to be beyond the limits of endurance,3,7,1
多元,duōyuán,"(Vs-attr) diverse, diversified",3,7,2
阿姨,āyí,(N) aunt (mother's sisters),3,7,2
先生,xiānshēng,(N) husband,3,7,2
下班,xiàbān,(V-sep) to get off work,3,7,2
改,gǎi,"(V) correct, check (homework)",3,7,2
公公,gōnggōng,(N) father-in-law (of a female),3,7,2
全,quán,"(Adv) completely, entirely",3,7,2
靠,kào,"(V) to depend on, rely on",3,7,2
單親,dānqīn,(Vs-attr) single parent,3,7,2
貴族,guìzú,"(N) nobility, aristocrat",3,7,2
時代,shídài,"(N) period, time of",3,7,2
強,qiáng,(Vs) strong,3,7,2
追,zhuī,"(V) to go after someone trying to establish a relationship of love, to chase",3,7,2
自由,zìyóu,(Vs) free,3,7,2
獨立,dúlì,(Vs) independent,3,7,2
安排,ānpái,"(V) to handle, to arrange",3,7,2
享受,xiǎngshòu,(Vst) to enjoy,3,7,2
身邊,shēnbiān,(N) by one's side,3,7,2
伴,bàn,(N) companion,3,7,2
同居,tóngjū,"(Vi) to live together (as a couple), to cohabit",3,7,2
成家,chéngjiā,"(Vp) to set up a family, to marry (from the male's perspective)",3,7,2
負擔,fùdān,"(V) to bear (a burden, responsibility)",3,7,2
養家,yǎngjiā,(V-sep) to support one's family,3,7,2
責任,zérèn,(N) responsibility,3,7,2
亂,luàn,"(Vs) to be in turmoil, be in chaos",3,7,2
教養,jiàoyǎng,"(V) to raise, bring up, train, educate (one's children)",3,7,2
接受,jiēshòu,(V) to accept,3,7,2
組成,zǔchéng,(V) to form,3,7,2
道德,dàodé,(Vs) moral,3,7,2
因此,yīncǐ,"(Conj) therefore, so",3,7,2
完整,wánzhěng,"(Vs) complete, integral, whole",3,7,2
美真,Měizhēn,female person's name,3,7,2
家華,Jiāhuá,male person's name,3,7,2
風雲人物,fēngyún rénwù,person,3,7,2
下決心,xià juéxīn,"· to resolve oneself, make up one's mind (to do something)",3,7,2
整夜,zhěngyè,(N) all night,3,8,1
開,kāi,"(V) to turn on, to power on",3,8,1
燈,dēng,"(N) light, lamp",3,8,1
電玩,diànwán,(N) video game,3,8,1
球賽,qiúsài,(N) ball game,3,8,1
激動,jīdòng,(Vs) to be excited,3,8,1
喊,hǎn,"(Vi) to yell, shout",3,8,1
公職,gōngzhí,(N) government posts,3,8,1
其實,qíshí,"(Adv) in fact, actually",3,8,1
公務員,gōngwù yuán,(N) civil servant,3,8,1
煩,fán,"(Vs) a ""drag"", a pain in the neck",3,8,1
聽話,tīnghuà,"(Vs-sep) to listen, to obey",3,8,1
失業率,shīyèlǜ,(N) unemployment rate,3,8,1
門,mén,(M) measure word for academic courses,3,8,1
讀書,dúshū,(V-sep) to study,3,8,1
學分,xuéfēn,(N) (academic) credits,3,8,1
修,xiū,(V) to take (courses),3,8,1
專心,zhuānxīn,"(Vs) to focus on, concentrate",3,8,1
修課,xiūkè,(V-sep) to take a class,3,8,1
輔系,fǔxì,(N) minor (in college),3,8,1
瘋,fēng,"(Vp) to go crazy, to be insane",3,8,1
誇張,kuāzhāng,(Vs) to be exaggerated,3,8,1
舉行,jǔxíng,"(V) to hold (a conference, exhibition)",3,8,1
遺憾,yíhàn,"(Vs) regretful (that something undesirable happened), a pity, a shame",3,8,1
兒子,érzi,(N) son,3,8,1
期望,qíwàng,(N) expectations,3,8,1
狀元,zhuàngyuán,(N) top-ranking in a public exam (originally the person with the highest marks on the imperial test),3,8,1
努力,nǔlì,(Vs) diligent in,3,8,1
怎麼回事,zěnme huíshì,What's wrong?,3,8,1
大喊大叫,dàhǎn dàjiào,"to yell, yelling, shouting",3,8,1
期中考,qízhōng kǎo,mid-term exam,3,8,1
密集班,mìjí bān,intensive course,3,8,1
畢業展,bìyè zhǎn,graduation exhibition,3,8,1
服裝設計,fúzhuāng shèjì,fashion design,3,8,1
醫學系,yīxué xì,department of medicine,3,8,1
行行出狀元,hángháng chū zhuàngyuán,there is a leader in every industry,3,8,1
冠軍,guànjūn,"(N) champion, championship",3,8,2
大賽,dàsài,"(N) a major, usually international, competition",3,8,2
通過,tōngguò,(Vpt) to pass,3,8,2
高級,gāojí,"(Vs-attr) high level, advanced",3,8,2
碩士,shuòshì,(N) master's degree,3,8,2
面試,miànshì,(N) interview,3,8,2
卻,què,"(Adv) but, yet",3,8,2
國中,guózhōng,(N) junior middle school,3,8,2
學歷,xuélì,(N) educational background,3,8,2
拒絕,jùjué,(V) to reject,3,8,2
引起,yǐnqǐ,"(Vpt) to stir up, generate, cause",3,8,2
彈性,tánxìng,(N) flexibility,3,8,2
改變,gǎibiàn,(V) to undergo change,3,8,2
制度,zhìdù,(N) system,3,8,2
基礎,jīchǔ,"(N) foundation, fundamentals",3,8,2
認真,rènzhēn,"(Vs) earnest, serious",3,8,2
公平,gōngpíng,(Vs) fair,3,8,2
出生,chūshēng,(Vp) to be born,3,8,2
窮,qióng,(Vs) poor,3,8,2
父親,fùqīn,(N) father,3,8,2
母親,mǔqīn,(N) mother,3,8,2
學徒,xuétú,(N) apprentice,3,8,2
吃苦,chīkǔ,(Vs-sep) experience tough times,3,8,2
明白,míngbái,(Vst) to understand,3,8,2
當兵,dāngbīng,"(V-sep) to be a soldier, to do military service",3,8,2
認字,rènzì,(Vi) to learn characters,3,8,2
烘焙,hōngbèi,(V) to bake,3,8,2
學習,xuéxí,(V) to study,3,8,2
技術,jìshù,(N) skills,3,8,2
藝術,yìshù,(N) art,3,8,2
經過,jīngguò,(Prep) after,3,8,2
終於,zhōngyú,(Adv) finally,3,8,2
億,yì,(N) 100 million,3,8,2
夢想,mèngxiǎng,"(N) dream, ideals (not during sleep)",3,8,2
成為,chéngwéi,(Vpt) to become,3,8,2
企業家,qìyèjiā,(N) entrepreneur,3,8,2
分店,fēndiàn,"(N) branch store, branch office",3,8,2
原因,yuányīn,(N) reason,3,8,2
錄取,lùqǔ,"(V) to accept (application), to admit",3,8,2
成功,chénggōng,(Vs) successful,3,8,2
鼓勵,gǔlì,(V) to encourage,3,8,2
吳寶春,Wú Bǎochūn,a famous baker from Taiwan,3,8,2
新加坡,Xīnjiāpō,Singapore,3,8,2
日文,Rìwén,Japanese language or writing,3,8,2
世界麵包大賽,shìjiè miànbāo dàsài,The Bakery World Cup,3,8,2
小時候,xiǎo shíhòu,in one's childhood,3,8,2
大開眼界,dàkāi yǎnjiè,to have one's eyes opened,3,8,2
訂單,dìngdān,(N) an order (trading),3,9,1
客戶,kèhù,"(N) customer, client",3,9,1
方便,fāngbiàn,(V) to offer convenience,3,9,1
訂購,dìnggòu,"(V) to order, place an order",3,9,1
成立,chénglì,"(V) to establish, set up",3,9,1
假日,jiàrì,(N) holiday,3,9,1
販賣,fànmài,(V) to sell,3,9,1
阿嬤,āmà,"(N) grandma, older woman (Taiwanese)",3,9,1
中間商,zhōngjiān shāng,"(N) middleman, reseller",3,9,1
經營,jīngyíng,"(V) to operate, run (a business)",3,9,1
宅配,zháipèi,(Vi) express delivery,3,9,1
下,xià,(V) to place (an order),3,9,1
既,jì,(Adv) not merely,3,9,1
隨時,suíshí,(Adv) anytime,3,9,1
搜尋,sōuxún,(V) to search,3,9,1
冰箱,bīngxiāng,(N) refrigerator (lit. ice box),3,9,1
吃虧,chīkuī,(Vs-sep) to suffer a loss,3,9,1
比價,bǐjià,"(V-sep) to compare prices, price comparison",3,9,1
風險,fēngxiǎn,(N) risk,3,9,1
賣家,màijiā,(N) seller,3,9,1
必須,bìxū,"(Vaux) must, to have to",3,9,1
信用,xìnyòng,(N) credibility,3,9,1
萬一,wànyī,(Conj) in case,3,9,1
滿意,mǎnyì,(Vst) satisfied,3,9,1
以內,yǐnèi,(N) within,3,9,1
普遍,pǔbiàn,"(Vs) widespread, common",3,9,1
選擇,xuǎnzé,(V) to choose,3,9,1
網購,wǎng gòu,online shopping,3,9,1
貨比三家不吃虧,huò bǐ sān jiā bùchīkuī,shop around and you won't get ripped off (lit. cheated),3,9,1
兩成,liǎng chéng,"20 % , literally 2/10",3,9,1
鳳梨,fènglí,(N) pineapple,3,9,2
農產品,nóngchǎnpǐn,(N) agricultural product,3,9,2
出口,chūkǒu,(V) to export,3,9,2
